avg_mse, mse, time(s)
0.00003126228015370761, 0.00000000065945213824556, 0.0113
0.0016554535747804776, 0.0000010886474732596884, 0.0140
0.0000025447453518321644, 0.00000000000043958140822157094, 0.0112
0.04456041436713898, 0.0017963282786192932, 0.0110
0.005575751024890622, 0.000000000000000000016760324469753885, 0.0109
2.1412836716285657, 0.000416115648158639, 0.0123
0.0000030465525989223676, 0.000000000000005467644080297016, 0.0111
0.0000000000000000002360031606370318, 0.00000000000000000000000000000000000009516607911774153, 0.0121
0.00004500795208295923, 0.00000029284632545031505, 0.0106
0.02532659902692932, 0.000000009945634019768903, 0.0113
0, 0, 0.0113
0.5064456174530759, 0.0004341437801411955, 0.0197
5.503553612213157, 0.0035690388247691432, 0.0209
5.358903557531979, 0.000287447416357952, 0.0335
0.008541173664048997, 0.0003066917077650828, 0.0217
1537.3856568928177, 1533.9880792081362, 0.0131
0.002071744450932113, 0.0000014064372139238692, 0.0200
1552.8941871485963, 1535.850835494687, 0.2557
