avg_mse, mse, time(s)
0.000013372925232420757, 0.00000000005501034124304926, 0.0271
0.00320772239513734, 0.000003162854235023268, 0.0299
5373.290986406758, 1238.1260492605234, 0.0354
119.3272960776332, 64.95050402279624, 0.0387
0.006722879289009312, 0.0000000010696749293977124, 0.0267
145.3564422663994, 42.983579798616866, 0.0692
5456.675294195281, 1506.337102498156, 0.0351
0.0001671144650418159, 0.000005209521124948878, 0.0379
0.00010964625800562742, 0.0000017529704580878091, 0.0386
223376058390275.94, 10004179524731.89, 0.1839
0, 0, 0.0353
0.753396212304409, 0.07375198772401734, 0.0502
68754.54849551176, 40906.43917718774, 0.1444
22.150102630452338, 12.382353458857564, 0.1660
0.21162207746864442, 0.17195517820590825, 0.0454
69.08223690392137, 18.383874724972316, 0.1302
154524434578549.63, 15656011109321.758, 1.0935
