min, mean, std, time(s)
0, 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018653785209824318, 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010045370763179203, 677.0145
-1.031628445256451, -0.8397104905594579, 0.44460932637443773, 541.9909
0, 0.00000000000000000000000000000000000000000000000028717868008295113, 0.0000000000000000000000000000000000000000000000015465045213420472, 1135.1513
0, 0.00000000000000000000000000000000000000000000000000000000000000000000000000009590424258276063, 0.00000000000000000000000000000000000000000000000000000000000000000000000000051646015201157315, 1451.6321
0, 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003272140688482417, 0, 20957.7950
0, 0.000000000000000000000000000000000000000000000000000000000000000008737607599132946, 0.00000000000000000000000000000000000000000000000000000000000000004705345694140173, 1284.1454
0, 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001072299398838857, 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057748966306146246, 1373.8680
0, 0, 0, 1611.7699
0, 0, 0, 4626.9327
0, 0.00000000000000000000000000000000000000000000000000000000000000002630775251218701, 0.00000000000000000000000000000000000000000000000000000000000000014167158298343382, 8179.9372
0, 0, 0, 3295.1858
0.1398858928689919, 0.591792938938696, 0.2667625213725434, 1435.4947
