avg_mse, mse, time(s)
0.000009220549333464676, 0.00000000019865977819928477, 0.0258
0.006907708547224372, 0.00000047067533008300465, 0.0288
6977.515838559478, 1672.5096462596284, 0.0342
128.945817810029, 49.62573281700475, 0.0373
0.05618258145308544, 0.00000000015309737034061782, 0.0256
149.232916143749, 79.83397989826841, 0.0675
6725.742931206828, 2404.0433221325698, 0.0337
0.000346235478355267, 0.000003764768409612813, 0.0369
0.0001146387213005972, 0.000011471841459149432, 0.0371
160523501004346.8, 4467676610165.864, 0.1860
0, 0, 0.0341
0.8494981464748463, 0.13787080975869312, 0.0492
52216.31386515402, 25475.692319479298, 0.1439
24.219746546741572, 8.575076121154376, 0.1609
0.21468957358620586, 0.14044963722724652, 0.0448
377.5485818168967, 163.5741510700641, 0.0391
117.80893156433996, 22.645301863748852, 0.1295
199494368221827.44, 27162175216278.914, 1.1172
